status_id;comment_id;Clinton;Trump;comment_message;page
889307941125736_1310539592335900;1310539592335900_1118422958249711;S;O;Hillary whatever you do please believe that there is God blessing that have you where you are today. Please don't worry because God knows your heart The Game is almost over. Let that person keep talking. Just tell him to go home the game is almost over.God bless;Clinton
889307941125736_1315734051816454;1315734051816454_782751185209409;O;S;sahit muja--I am voting RED for someone -I am not voting for someone under the FBI;Clinton
889307941125736_1295955130461013;1295955130461013_1766042250331528;S;N;Go Hillary!!! Early voting started in Texas today and I voted for Hillary and straight ticket Democrats!! #TurnTexasBlue!!! 💗💗💗;Clinton
889307941125736_1273820966007763;1273820966007763_1273842416005618;N;N;My dream is a hemispheric common market, with open trade and open borders. URL;Clinton
889307941125736_1313382152051644;1313382152051644_1853852321493697;S;O;People who think their measly lil vote won't make a difference, must be told EVERY VOTE MATTERS! The republican party is banking on the fact Dems won't show up in record numbers to choose our next president. PLEASE< PLEASE VOTE! YOU MATTER! IT MATTERS! It's not just our civic duty, voting in this election could mean saving our planet from a terrible fate.;Clinton
889307941125736_1192015697521624;1192015697521624_1564587303836477;O;N;Hillary , If your daughter was at the Embassy in Benghazi , would you have gone there to help her ????;Clinton
889307941125736_1065761773480351;1065761773480351_1065889516800910;O;N;"Thank you Hillary for fighting for Child Healthcare. You have succeeded in making a complete circle to make you VERY wealthy. First..Pass legislation to provide tax paid Drug and Healthcare for children. Second...Spend years tirelessly lobbying Congress for Obscene Tax breaks and Government Subsidies for Chemical companies like Monsanto, Syngenta, Bayer, DuPont and Pfizer. Third...Use disinformation to dispute scientists facts that these companies are poisoning us. Fourth..Vote and lobby for those poisons NOT to be labeled on our food. Fifth... Get paid Two Hundred Million dollars for your ""Fighting for Families"" scheme. Again Thank you Hillary I don't know why people just won't accept that! #BERNIE4US! #HILLARY4HILLARY";Clinton
889307941125736_1261619120561281;1261619120561281_1263779346986898;N;N;Bring me your tired, your poor, the wretched refuse of your teeming shores, send these the homeless tempest tossed to me. I lift my lamp beside the golden door! Do you haters not understand what America was built on, what it stands for?;Clinton
889307941125736_1186492991407228;1186492991407228_1064857530257843;N;N;It's not the voters fault... We showed up. They threw out our ballots... Revote sandiego California , revote arizona;Clinton
889307941125736_1311363455586847;1311363455586847_1097883183652874;S;N;"""Listen to what Marian Wright Edelman has to say about Hillary Rodham Clinton, candidate for the United States Presidency about her work for families and children in poverty in America. This was a reflection of the work done when her husband, Bill Clinton was president of the United States"". URL";Clinton
889307941125736_1267850083271518;1267850083271518_1791676304389129;O;N;I am more concern with what was the secretary of state hiding that compelled her to delete emails in which most if not all were federal records...;Clinton
889307941125736_1245176815538845;1245176815538845_1423521544329193;S;N;Rest up Hillary, so you can come back stronger than ever....;Clinton
889307941125736_1104640322925829;1104640322925829_611255669027024;N;N;Hillary needs to start helping this planet by not using single use throw away cups. Ugh.;Clinton
889307941125736_1320488274674365;1320488274674365_1120804578038364;O;S;Donald Trump 2016. 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 Us true Americans want our country back!!!;Clinton
889307941125736_1322023997854126;1322023997854126_598234400378329;S;N;Mdp Pakosh Orquera pay attention at 3:47 that little girl crying because she's scared to be separated from her family.... thats heartbreaking.... and listen to how Hillary responds #imwithher;Clinton
889307941125736_978076345582228;978076345582228_978286245561238;N;N;too bad the fight is indefensible at this point. sucks for you.;Clinton
889307941125736_1322225667833959;1322225667833959_962341877243276;O;N;I did not vote for HRC today. She gave me plenty of reasons why not to vote for everyone else, but failed to provide a platform or details on her plans that told me how she would get anything done. You are not entitled to be president just because you have put in the time as a politician, you earn votes.;Clinton
889307941125736_1307505722639287;1307505722639287_634203176767306;N;O;"The book about Trump is published in Russia named "" The black swan of America ""! Putin is waiting for Trump to come to White House! Trump and Putin will make Russia great again! BE AWARE OF THIS!";Clinton
889307941125736_1038731649516697;1038731649516697_551674621652699;S;N;Happy Navidad 1 Million Strong For Hillary Clinton in 2016,and Mr President Bill Clinton,and Family,Prospero año 2016, thank,s;Clinton
889307941125736_1306820212707838;1306820212707838_1126205687456851;N;N;si udrea detergent ariel cu steagul ue si o pui pe ea si merkel;Clinton
889307941125736_1145034515553076;1145034515553076_1370066023007388;O;S;More and more people can't live up to their potential because good paying jobs are being eliminated or shipped overseas. And even worse, high paying jobs are being replaced with H1B visa foreign workers. We have been sold out by our leaders and it's time we have someone working for us and not the lobbyists or special interest groups. It's time for Trump!;Clinton
889307941125736_1067425973313931;1067425973313931_1067881396601722;N;N;real ppl i take my son to work since day care so expensive;Clinton
889307941125736_934404766616053;934404766616053_934642973258899;S;N;be encourragged Mrs Hillary, God bless you, your family , America and the nations !;Clinton
889307941125736_1200227913367069;1200227913367069_1237691176274937;S;N;I really feel your commitment to our future, thank you Hillary and Tim , I will fight my heart out for your election❤️;Clinton
889307941125736_1037752582947937;1037752582947937_1105578269461965;S;N;I loved this until she made it about trump. I was touched by her compassion for this beauty and how she said we need more kindness and to stand up for one another. Well said.;Clinton
889307941125736_1215910885132105;1215910885132105_1641280026096969;S;N;We're with you all the way Mrs. Clinton. Many blessings to you and your family and staff 🙏🙏🙏🎉🎉🎉🇺🇸🇺🇸🇺🇸;Clinton
889307941125736_1273820966007763;1273820966007763_1655485091409431;O;S;Still, he's not a baby killer unlike the other candidate.;Clinton
889307941125736_966364996753363;966364996753363_966380376751825;N;N;you know Hillary .. I am concerned that all of the politics and politicians are missing the real important issues of our time. To not be in a panic about the fact that last month was the hottest month in all recorded history .. to me is the most urgent issue of our time!;Clinton
889307941125736_1197870446936149;1197870446936149_1044587248970647;S;N;Please stop this! If you don't like her....get off her posts! Go support your candidate;Clinton
889307941125736_1310624855660707;1310624855660707_1134587156589326;S;N;To the Hillary Clinton team, Please may I suggest that you re-position your 'Events' section, which should be more prominent, on the 'Home' section on Hillary's FB fan page and on Madam President (aka Hillary Clinton) FB fan page. The 'Shop' section at the top of the FB fan page is too prominent.;Clinton
889307941125736_1315608691828990;1315608691828990_791202157687203;S;N;"A toddler just said ""hi"" and ""have a good day"" to me as they and their guardian passed me. The guardian exclaimed, ""Nobody ever gets a greeting! You must have a good energy about you!"" It's because the child could tell that although we have little in common, I care about their future and I, therefore, voted for Hillary. ;-) #imwithher #imwiththem #hillaryclinton #hillaryforpresident #hillary2016 #strongertogether";Clinton
889307941125736_1289957681060758;1289957681060758_547652315435382;S;N;La señora Hilary sin lugar a dudas será la próxima presidenta de los Estados Unidos, por su gran capacidad de trabajo contará con la mayoria absoluta del voto estadounidense y latino...;Clinton
