prompt,completion,preds
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Hillary Clinton is a liar and a horrible human being. She has continuously and overtly proven that she cannot be trusted. She plays the side and says whatever it takes to get people to follow her blindly, knowing full well that she does not mean a word that comes out of her mouth. If you feel that I am incorrect in this statement, please come to my facebook page and start a discussion with me! I would love to have a chance to lay out the evidence... If you feel you can prove me otherwise, I am also very much open to seeing what you have that might make me think otherwise. I want a real discussion, and not name calling against each other. You should have evidence and facts at your ready when we begin, as I do not accept just having someone state something and expect me to take it at face value without evidence.
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Hello Beloved People, I am the C.E.O of Richy Wayne Loan investment Company and we are formed to lend out loans to those who are in need of a loan to celebrate their X-mas in a way like never before and also to those who are in need of financial assistance, so if you are out there in need of an X-mas loan or loan to clear up your debts or bills, then search no more and contact us today Via Email @ (richywayneloanfirm01@gmail.com)or call +1 704-908-0699 for more details about the loan.
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""NH: Gov. Maggie Hassan is a much better option than Sen. Kelly Ayotte
""""""
","None, None","None, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Paola Ramos listen to the words and think about the importance of what this video is saying
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""My question is....how can she be a presidential candidate when her husband was impeached?
""""""
","None, None","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Was more like a sermon than a speech. One people need to hear! :-)
""""""
","None, None","None, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Why Does Hillary Clinton and Obama Want To Do The Same Thing As President? To Destroy America!
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""If hillary wanted to shut trump down, her husband shouldn't have encouraged him to run, and she shouldn't have let Donald Trump be a major funder for her campaign koffers. Bernie turned dount Shrkellis money, and yet the Trump Kids and the Clinton Kids (and the adults as well) are friends and business associates when you look behind the media soundbytes.
""""""
","None, Against","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""""Lazy American women"" who brought about the downfall of the economy, because ""they sit around on their behinds, doing nothing and squandering their days away when they could be improving the country that has given so much to them."" - Joe Biden Oct 26, 2016
""""""
","None, None","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""""Secretary Hillary Clinton's more modest proposals do not go far enough. They call for a bit more oversight and a few new charges on shadow banking activity, but they leave intact the titanic financial conglomerates that practice most shadow banking. As a result, her plan does not adequately reduce the serious risks our financial system poses to the American economy and to individual Americans. Given the size and political power of Wall Street, her proposals would only invite more dilution and finagle. The only way to contain Wall Street's excesses is with reforms sufficiently bold and public they can't be watered down. That's why we support Senator Sanders's plans for busting up the biggest banks and resurrecting a modernized version of Glass-Steagall."" URL
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""As a traditional, Christian conservative, Donald Trump's ""hot-mic moment"" from 2005 â in which he was caught in some serious ""locker-room banter"" making lewd comments about some females at the time, while also dropping a few not-so-nice words â should probably come as a shock to me. But it doesn't â and frankly, I don't care. ""Why?"" you might ask. Two stupidly simple reasons: First, the entertainment industry is a filthy, secular cesspool â and it doesn't surprise me one bit that Trump, who worked in the show business for decades, would have engaged in raunchy conversations. Also, any hollywood actor or entertainment phenomenon who condemns Trump for his hot-mic comments should burned at the stake of hypocrisy. Secondly, those comments from 10+ years ago do not personally effect me, nor my family, friends, and co-workers. Heck, if he said them right now, it still wouldn't effect one single American. You see, I don't care about rhetoric, inflammatory statements, or prior controversy. If you put aside every single scandal Donald Trump and Hillary Clinton have been apart of, one thing remains standing â policy. And for the record, I care about policy, and policy only. Clinton's political agenda has not and will not work â and the top 10 most impoverished cities in America can attest to the failed policy found in the Democrat platform. Trump, on the other hand, represents the good, the bad, and the ugly â all in one package. He's got policy that works (strong borders, tax-cuts across the board, and the political will to simply say ""No""), but he comes with the politically-incorrect downfalls of having led a career in the entertainment industry. Again, as a traditional Christian conservative/deplorable, I won't lose an ounce of sleep choosing good policy over inflammatory comments from 10+ years ago.
""""""
","Favor, Against","Favor, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Jill Baranowski it's a long way in, but the Shaq Shake made the cut.
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Fight for (YOURSELF) Hillary.. When You Lie to AMERICA`s they tend to turn away, from YOU! .. just saying as in E-Mail Scandal... Your Picture Is In The Webster Dictinary under that topic.. (Forever & Ever)
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I would like for Hillary Clinton to disavow the remarks she made about ""men coming off the reservation"". When I heard that remark I was very offended. I'm sorry but is something an old white person would say without pause. I'm really upset about this and if she truly wants all dems to be with her she needs to apologize NOW! No not one of her surrogates either. I can't believe her campaign staff is missing this as many Bernie supporters say there is little difference between her and the Dumpster. No Hillary followers I don't want 100 talking points I want her apologies. Also, do something about why she was part of the Melania and Trump wedding. I saw her answer and again sounded like ""white privildge"". Again no talking points as I don't need to be educated about prejudice, people I lived it and like most minorities can smell it a mile away. You all need to start hiring people in your campaign who are more honest with Hillary and she needs to be open to feedback.Too many ""yes"" people and others outside her campaign sense it, i.e. regular voters.
""""""
","None, None","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Too bad Joe decided not to run. That would've been fun!
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I have 101% confidence that #Hillary would defeat #Trump .... From Ukraine #GoHillary
""""""
","Against, Favor","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Bernie you are a joke, if you believed everything you were saying about Hilary when you were running AGAINST her, you WOULD NOT be campaigning for her!
""""""
","None, None","None, Against"
