completion,preds
"Clinton, Favor","Clinton, Favor"
"Clinton, Against",", "
"Clinton, Against",", Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Favor"
"Clinton, Against",", Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Trump, Against"
"Clinton, None",", Favor"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, None",", Favor"
"Clinton, Against",", Favor"
"Clinton, None","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against",", None"
"Clinton, Favor","Clinton, "
"Clinton, None","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None",", "
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against",", Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against",", Against"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Favor"
"Clinton, Against",", Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, None",", "
"Clinton, Against","Clinton, Against"
"Clinton, None",", "
"Clinton, Against",", Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, None",", "
"Clinton, Favor","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None",", Against"
"Clinton, Against","Trump, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","Trump, Favor"
"Clinton, None",", "
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, None",", None"
"Clinton, Favor","Trump, Against"
"Clinton, None",", None"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against",", Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","Clinton, Against"
"Clinton, None","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, Against",", Favor"
"Clinton, None",", Favor"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, None","Trump, Against"
"Clinton, None",", Favor"
"Clinton, None","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor",", "
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, None",", "
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, Favor","Trump, None"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, None",", Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Trump, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Trump, Favor"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Trump, Against"
"Clinton, None",", Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, None","Trump, Against"
"Clinton, Against",", "
"Clinton, Against","Trump, Favor"
"Clinton, Against","Clinton, Favor"
"Clinton, Against","Trump, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","Trump, Favor"
"Clinton, Against",", Against"
"Trump, None","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, Favor","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Favor"
"Trump, Against","Trump, Against"
"Trump, None","Clinton, Against"
"Trump, Against",", "
"Trump, None","Trump, Against"
"Trump, None",", Favor"
"Trump, Against","Trump, Favor"
"Trump, Against","Trump, Against"
"Trump, None",", Against"
"Trump, None",", "
"Trump, None","Trump, Against"
"Trump, None","Trump, Against"
"Trump, None","Clinton, Against"
"Trump, None",", "
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Against","Clinton, Against"
"Trump, Favor","Trump, Favor"
"Trump, Against","Trump, Against"
"Trump, Against",", "
"Trump, Against","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Favor"
"Trump, Against","Clinton, Against"
"Trump, Against","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, None","Clinton, Favor"
"Trump, Favor","Trump, Favor"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, None",", "
"Trump, Favor","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, Favor","Trump, Favor"
"Trump, Against","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, Against","Trump, Favor"
"Trump, None","Clinton, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Favor"
"Trump, Against","Trump, Favor"
"Trump, None","Trump, Against"
"Trump, Against",", Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, None","Clinton, Against"
"Trump, Favor","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, Favor","Trump, Favor"
"Trump, Favor","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, Against",", "
"Trump, Against",", "
"Trump, Favor","Trump, Favor"
"Trump, Against",", "
"Trump, None","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, None",", None"
"Trump, None",", Against"
"Trump, Against","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, Against","Trump, "
"Trump, Against","Trump, Against"
"Trump, None","Trump, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Trump, Against"
"Trump, None",", None"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, None","Clinton, Against"
"Trump, Favor","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, None","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, Favor","Trump, Favor"
"Trump, None",", Favor"
"Trump, None",", "
"Trump, Against","Trump, Against"
"Trump, None",", Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Favor","Trump, Against"
"Trump, None","Trump, Favor"
"Trump, None","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Favor"
"Trump, None","Trump, Against"
"Trump, Against",", "
"Trump, Against",", Against"
"Trump, None","Trump, Against"
"Trump, None",", Against"
"Trump, None",", "
"Trump, None","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Favor","Trump, Favor"
"Trump, None",", Against"
"Trump, None",", "
"Trump, None",", "
"Trump, None","Clinton, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, None","Clinton, Against"
"Trump, None",", Against"
"Trump, None",", "
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, None",", None"
"Trump, Favor","Trump, Favor"
"Trump, None","Trump, Against"
"Trump, Favor","Clinton, Against"
"Trump, Favor","Trump, Favor"
"Trump, None","Trump, Against"
"Trump, None","Trump, Against"
"Trump, Against","Trump, Against"
"Trump, Against","Clinton, Against"
"Trump, Against",", Against"
"Trump, Against","Trump, Favor"
