completion,preds
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Trump, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Trump, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Trump, None"
"Clinton, Against","Trump, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","Trump, None"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Trump, None"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Favor","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, None","Trump, None"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Trump, None"
"Trump, None","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, None","Trump, None"
"Trump, Favor","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Trump, None"
"Trump, Favor","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Favor","Trump, None"
"Trump, Favor","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Favor","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, None","Clinton, Against"
"Trump, Against","Clinton, Against"
"Trump, Against","Trump, None"
