completion,preds
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Favor"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Favor"
"Clinton, Against",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, None",", None"
"Clinton, Favor",", Favor"
"Clinton, None",", Favor"
"Clinton, None",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, None",", None"
"Clinton, Favor",", Favor"
"Clinton, None",", Against"
"Clinton, Against",", Favor"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", None"
"Clinton, Favor",", Favor"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, None",", None"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against","Trump, Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, None",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Favor"
"Clinton, Against",", Against"
"Clinton, Favor",", Against"
"Clinton, Against",", Against"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, None",", Favor"
"Clinton, Favor",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, None",", None"
"Clinton, Against",", Against"
"Clinton, Against",", Favor"
"Clinton, Against",", Favor"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, None",", Against"
"Clinton, None",", Favor"
"Clinton, None",", Against"
"Clinton, Favor",", Against"
"Clinton, Against",", Against"
"Clinton, None",", None"
"Clinton, Favor",", Against"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Favor"
"Clinton, None",", Against"
"Clinton, None",", Against"
"Clinton, Against",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Favor"
"Clinton, Against",", Favor"
"Clinton, None",", Favor"
"Clinton, Against",", Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Favor"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, None",", Favor"
"Clinton, None",", Favor"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Against"
"Clinton, Against",", Against"
"Clinton, None",", "
"Clinton, Against",", Against"
"Clinton, Against",", Favor"
"Clinton, Favor",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Favor"
"Clinton, None",", Favor"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Against"
"Clinton, None",", None"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, None",", Favor"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Favor"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", None"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Favor"
"Clinton, Favor",", Against"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", None"
"Clinton, Against",", Against"
"Clinton, None",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Against",", Against"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Favor"
"Clinton, Favor",", Favor"
"Clinton, None",", Favor"
"Clinton, Against",", Against"
"Trump, None",", Against"
"Trump, Favor","Trump, Favor"
"Trump, Favor",", Against"
"Trump, None",", Against"
"Trump, Against",", Favor"
"Trump, Against",", Against"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, None",", Against"
"Trump, None",", Against"
"Trump, Against",", Favor"
"Trump, Against",", Against"
"Trump, None",", Against"
"Trump, None",", Against"
"Trump, None",", None"
"Trump, None",", Against"
"Trump, None",", Against"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, Against",", Against"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, Favor",", Favor"
"Trump, Against",", Against"
"Trump, Against",", None"
"Trump, Against",", "
"Trump, None",", Against"
"Trump, Against",", Favor"
"Trump, Against",", Against"
"Trump, Against",", Favor"
"Trump, Favor",", Favor"
"Trump, None",", Favor"
"Trump, Favor","Trump, Favor"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, None",", Favor"
"Trump, Favor",", Favor"
"Trump, Against",", None"
"Trump, Favor",", Against"
"Trump, Favor",", Favor"
"Trump, Against",", Against"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, Against",", Against"
"Trump, Favor",", Favor"
"Trump, Against",", Favor"
"Trump, None",", Against"
"Trump, None",", Favor"
"Trump, Against",", Favor"
"Trump, Against",", Favor"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, Against",", Against"
"Trump, Against",", Favor"
"Trump, None",", Against"
"Trump, Favor",", Against"
"Trump, Favor",", Against"
"Trump, Favor",", Favor"
"Trump, Favor",", Favor"
"Trump, None",", Against"
"Trump, Favor",", Favor"
"Trump, Against",", Against"
"Trump, Against",", Against"
"Trump, Favor",", Favor"
"Trump, Against",", Against"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, Against",", Against"
"Trump, Against",", Against"
"Trump, Against",", Against"
"Trump, None",", None"
"Trump, None",", Against"
"Trump, Against",", Favor"
"Trump, Favor",", Favor"
"Trump, Against",", "
"Trump, Against",", Against"
"Trump, None",", Against"
"Trump, None",", Against"
"Trump, Against",", Against"
"Trump, Against",", Favor"
