completion,preds
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, None"
"Clinton, Against","None, None"
"Clinton, Favor","Clinton, None"
"Clinton, Against","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","None, None"
"Clinton, Against","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Favor","Clinton, None"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, None","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","None, None"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","None, None"
"Clinton, Against","None, None"
"Clinton, None","Trump, Against"
"Clinton, Against","Clinton, None"
"Clinton, Against","None, None"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","Trump, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, Favor"
"Clinton, Against","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Against"
"Clinton, None","None, None"
"Clinton, None","None, None"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","None, None"
"Clinton, Against","Bernie, None"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","None, None"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Trump, None"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","None, None"
"Clinton, None","None, None"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, None","Clinton, None"
"Clinton, None","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, Against","Clinton, Against"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, None"
"Clinton, Favor","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Favor"
"Clinton, None","None, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","Trump, None"
"Clinton, Favor","Clinton, Against"
"Clinton, Favor","Clinton, None"
"Clinton, None","Clinton, None"
"Clinton, Against","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, None","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Against"
"Clinton, Favor","Clinton, Against"
"Clinton, None","Clinton, None"
"Clinton, Against","Clinton, Against"
"Clinton, Against","Clinton, Favor"
"Clinton, Against","Trump, Favor"
