page,Clinton,Trump,prompt
Clinton," None
"," None
",Amen merry Christmas to the Maiden the Mother and the Grand Mother and to Bill and the boys
Clinton," Favor
"," Against
",Hillary whatever you do please believe that there is God blessing that have you where you are today. Please don't worry because God knows your heart The Game is almost over. Let that person keep talking. Just tell him to go home the game is almost over.God bless
Trump," None
"," None
","As far as being married 3 times, I have been also. The answer you want to give when they question about marrying gays is no. I have been divorced I admit I am a sinner. Gays won't admit that is sin. Its real easy."
Clinton," Against
"," None
","TIME TO STOP THE GLOBALIST and SHE IS A PROVEN CROOK !! Like Trump said, these are some very bad people. SHE'S A PROVEN CROOK. Every time Hillary lies a...DEMON GETS IT'S HORNS. #HillaryIsGarbage"
Clinton," Favor
"," Against
","the question ""obama may change the first strike nuclear pokily"" do you support this?TRUMP BOMBED THIS QUESTION AND DIDNT KNOW the policy. he first said he would use it at the same time wouldn't not take it from the table. HE NEVER ANSWER because I don't know! you have to use this on a big tv add! HE also failed on the three kinds of nuclear attack the US can us in a GOP debate in dec and flopped on it.TRUMP HAS NO MILITARY EXPREINCE,NO GOVERMENT EXPLAIN AND NO UNDERSTANDING ON NUCLEAR IMPORTANCE,HOW CAN WE TRUST HIM TO PROTECT OUR COUNTRY!!!please attack him on this until nov 8!!!"
Clinton," None
"," Favor
",45th President of the United States of America Donald J. Trump
Clinton," Against
"," None
",I'm really excited that you two liberal Hillary clones are not on the Trump team... Hang in there though you are going to get a free college education & you are going to be paid the same as any man that does the same job as you ... And you'll never have to pay for medications and you will have a free medical plan...honest ... Just ask Hillary... Honest ....she would never lie .... Honest... It's the truth... Honest....honestly
Clinton," None
"," Favor
",Trump is winning and will win It's not because of the emails it's because good Americans want there country back they are tired of the lies and bs and the past 8 years we all should see how Corrupt Washington is by what happen today Comey caves again remember he was appointed by Obama everyone has a price look Obama is desperate spend tax payers money campaigning for Hilary looks Ike Hilary has something big on him. It's true it is time to drain the swamp don't care if your demo or republican we all know something isn't right in Washington
Clinton," Against
"," None
",Hillary Clinton sÃ­ que es una amiga de esta temporada. CambiÃ³ de opiniÃ³n en casi toda su plataforma desde que se postulÃ³ como presidenta.
Clinton," Against
"," None
",Then why did bill need to have so many women besides you ?
Trump," None
"," None
",AM TRYING TO SEND EMAIL TO MR TRUMP. BUT IT IS NOT AVAILABLE ON HIS FB ACCT
Clinton," None
"," None
","""The Higgs boson is not the God particle anymore. The Graviton from Ferent Gravitation theory is the God particle because has the speed v = 1.001762 Ã 10^17 m/s, negative impulse, negative mass and negative energy"" Ferent Adrian URL"
Trump," None
"," Against
",Smh any idiot who is for trump is confused with real life and reality television.
Trump," None
"," Favor
","Mr. Donald J. Trump wow, Fantastic to see, I hope you will win to be the next President 2016"
Clinton," None
"," None
","Hillary wanted illegal immigrants kept out, too, she must also be a racist, according to your standards! LOL! URL"
Clinton," Against
"," None
",Hillary you are a criminal. You Should go to jail with Obama. Liars.
