model,target,regime,f1_estimate,f1_ci.low,f1_ci.high,recall_estimate,recall_ci.low,recall_ci.high,precision_estimate,precision_ci.low,precision_ci.high,dataset
davinci,Clinton,Minimal,0.54127705,0.470667143,0.610937111,0.45177665,0.385786802,0.52284264,0.747377327,0.688345761,0.807108949,semeval
davinci,Trump,Minimal,0.42147437,0.334048473,0.506656205,0.373239437,0.295774648,0.450704225,0.510199126,0.408480909,0.621433853,semeval
davinci,Joint,Minimal,0.460465588,0.406369375,0.513933924,0.418879056,0.365781711,0.471976401,0.564526099,0.510808908,0.622278377,semeval
davinci,Clinton,Sentence,0.486481039,0.411386015,0.558380576,0.411167513,0.345177665,0.47715736,0.736388545,0.675552528,0.796954315,semeval
davinci,Trump,Sentence,0.438370755,0.350871318,0.524170807,0.394366197,0.316901408,0.471830986,0.645292809,0.488455729,0.811233312,semeval
davinci,Joint,Sentence,0.431704092,0.374717603,0.488255741,0.404129794,0.351032448,0.457227139,0.585029173,0.518653128,0.656230926,semeval
davinci,Clinton,Context,0.595202857,0.525695197,0.664168902,0.538071066,0.467005076,0.609137056,0.718216131,0.649431993,0.785329556,semeval
davinci,Trump,Context,0.411531478,0.327944207,0.498897248,0.401408451,0.323943662,0.478873239,0.610816362,0.34989989,0.847348799,semeval
davinci,Joint,Context,0.4942075,0.43801386,0.550288184,0.480825959,0.427728614,0.533923304,0.578731607,0.495969215,0.692789602,semeval
davinci,Clinton,Minimal,0.656153763,0.610294234,0.701276921,0.6475,0.6,0.6925,0.715849143,0.672390519,0.760381526,fb
davinci,Trump,Minimal,0.586632428,0.536724167,0.634494393,0.5475,0.5,0.595,0.793804259,0.745985097,0.840647322,fb
davinci,Joint,Minimal,0.430973836,0.380345095,0.481977373,0.385,0.3375,0.4325,0.68695962,0.60977628,0.764206994,fb
davinci,Clinton,Sentence,0.714205417,0.669613511,0.757808144,0.71,0.665,0.755,0.783527189,0.748375739,0.818824906,fb
davinci,Trump,Sentence,0.70599501,0.662698099,0.748356833,0.6775,0.63,0.7225,0.832113235,0.797617875,0.865208769,fb
davinci,Joint,Sentence,0.550317129,0.501062122,0.598670993,0.49,0.4425,0.5375625,0.713202151,0.662736531,0.767319492,fb
davinci,Clinton,Context,0.723030982,0.678822186,0.765681556,0.72,0.675,0.7625,0.78842587,0.75405747,0.822864775,fb
davinci,Trump,Context,0.769966669,0.730526989,0.807996047,0.755,0.7125,0.795,0.839549107,0.809301893,0.868858232,fb
davinci,Joint,Context,0.605430509,0.557748091,0.651342471,0.555,0.505,0.6025,0.733637807,0.68762412,0.783461301,fb
