prompt,completion
"@3_Card_Monty : I believe the title would be ""First Lord"". Let THAT sink in!! #PJNET
"," Clinton, None
"
"@HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime.
"," Clinton, Against
"
"#Univision ignores Latino candidate Marco Rubio because he doesn't fit their narrative.They're invested with Hillary #rubio2016
"," Clinton, Against
"
"I'm going to miss the 5pm interview so I'm depending on you all to live tweet it. Haha
"," Clinton, None
"
"@kasie I do! And I had an invitation to their beta test before they even officially launched. #HillaryLies
"," Clinton, Against
"
"@roughcountry451 @vendettajane Fortunately Bryan he does not have a saying on that  #freeallfour
"," Clinton, Against
"
"Ding Dong ____ _____ __ ____
"," Clinton, None
"
"@fuzislippers @KLSouth @gdebenedetti Yeah, she's a real forward thinker! Lol  #MakeAmericaGreatAgain #WhyImNotVotingForHillary
"," Clinton, Against
"
"@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog
"," Clinton, Against
"
"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary
"," Clinton, Against
"
"The #HillaryCampaignSong Top 20 will be revealed (and voting will resume) Monday morning at 10am PT!
"," Clinton, Against
"
"@politico Remember when millions of GWBush's emails went missing or deleted re Iraq War and nobody had a hearing? Yawn!
"," Clinton, None
"
"My whole day is revolving around @HillaryClinton 's interview with @brikeilarcnn on @CNN and I'm okay with that!
"," Clinton, Favor
"
"I got it! I got it!   A Hillary accomplishment!   She's managed to stay out of prison despite a 30-year crime spree. #tcot #ocra
"," Clinton, Against
"
"Night, sleep tight, don't let Hillary bite. says @Tony_Tickets   ""Nightmares"" is all I say. 
"," Clinton, Against
"
"Probably not perfect for everyone--which I think is great. But this is the beginning of a conversation.
"," Clinton, None
"
"HER NAME IS RIO AND SHE DANCES IN THE SANAAAAAND!!! WHOOOO!! #tcOT
"," Clinton, Against
"
"@chicagotribune #ayyylmao do #Democrats & other #liberals realize no one wants #HillaryClinton which is #Obamanation 2.0?
"," Clinton, Against
"
"96 commit cards collected for Hillary in Greenville, SC so far! #FellowsSC
"," Clinton, Favor
"
"Because Communist Breadlines are not my thing! #NoHillary #WhyImNotVotingForHillary
"," Clinton, Against
"
"@NaughtyBeyotch @TheRealMadman23  Don't care for #Fiorina, but it seems she taking the #sexist gut punches by the #media. #MSM
"," Clinton, None
"
"At the end of the day, support the candidate w/best chance of beating the progressive democrat.  Don't stay home.  #UniteRight
"," Clinton, Against
"
"RT @Glenn_Hegar: Follow if you stand against Hillary in 2016!
"," Clinton, Against
"
"@Norsu2 secret Clinton docs? gee WHAT a surprise!
"," Clinton, Against
"
"@oreillyfactor ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016
"," Clinton, Against
"
"@Raging_D_RTR @CrimsonHotMess I'm for CHANGE and EQUALITY
"," Clinton, None
"
"2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary
"," Clinton, Against
"
"@FoxNews @marthamaccallum @BillHemmer whose the opportunist now, #NoHillary2016
"," Clinton, Against
"
".@HillaryClinton blames her lack of trust among the populace on @GOP, forgetting that she's a lying, conniving, murderous, cheat.
"," Clinton, Against
"
"Saudi Arabia imprisons & flogs rape victims. ""Women's champion"" @HillaryClinton has accepted MILLIONS $$$ from Saudi govt #tcot
"," Clinton, Against
"
"Hilarity of the day: Hillary said she went 'above and beyond' in transparency. Really? What about the 30k deleted emails?
"," Clinton, Against
"
"Hillary Clinton might end up having my vote. She's been tackling so many issues that America needs to face.
"," Clinton, Favor
"
"@ARForHillary @HillaryClinton @HillaryIn2016 So proud of you! Soon, we will show who we really are. Keep up the good work!
"," Clinton, Favor
"
"My how times have changed: @MartinOMalley has focused his attacks on @BernieSanders not @HillaryClinton
"," Clinton, None
"
"@PortiaABoulger Thank you for adding me to your list
"," Clinton, None
"
"Dana made this shirt w/ lots of #glitter! #awesome #decoration
"," Clinton, None
"
"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools
"," Clinton, Against
"
"Go watch America: Imagine A World Without Her. It'll make you realize how lucky we are to live in the best country on Earth
"," Clinton, None
"
"@politico   YAWNzzzzzzzzzzzzzz could keep the z's going for the full amt of Tweet characters but you get the point.
"," Clinton, Against
"
"@thehill #MamaHillary is making the case here & just exclusively how to deal with complex social issues. #cnn #bbc #Mamaclinton
"," Clinton, Favor
"
"@NACLA @BrasilWire SOS OBAMA Who?? @BarackObama ?? :-))))  Are you joking? #StopDilma #StopLula #StopForodeSaoPaulo
"," Clinton, None
"
"Hillary says people should and do trust her, phew wee I am glad she finally got that issue behind her.
"," Clinton, Against
"
"HRC is a war monger, every bit as bad as any Republican in the race, and probably worse than some.
"," Clinton, Against
"
"@realDonaldTrump is the only honest voice of the @GOP and that should scare the shit out of everyone!
"," Clinton, Against
"
"I want to go back in time to when men and women couldn't appear in the same yearbook as each other #old school
"," Clinton, None
"
"Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice?
"," Clinton, None
"
"If Hillary Clinton is elected president in 2016, this nation will surely experience unprecedented destruction.
"," Clinton, Against
"
"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary
"," Clinton, Against
"
"#KCA #VoteJKT48ID RfWheels3015: davidjones720 rratkinson Right I mean what the heck is an #ArabDonorGroup ?? #HillaryEmails #D...
"," Clinton, Against
"
"@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor
"," Clinton, Favor
"
"Spoke to @HillaryClinton today in NYC. Wow! So smart and impressive!!!
"," Clinton, Favor
"
"There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama
"," Clinton, Favor
"
"@GideonHenry First SCOTUS reaffirms Obamacare, then it legalize gay marriage. Your world is crumbling!
"," Clinton, None
"
"Problem with #libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to
"," Clinton, None
"
"@moser_kristen  I love how you pay more attention to the democratic candidate than you own republican candidates #KnowTheEnemy
"," Clinton, None
"
