prompt,completion
"The California draught is a myth created by the government. The point was to conserve water for use in the war against ISIS.
"," Trump, None
"
"@realDonaldTrump comments about Mexicans where he said ""somebody's doing the raping""  Why do bigoted WM claim to be crime free?
"," Trump, Against
"
"Donald Trump is the man of all men
"," Trump, Favor
"
"@realDonaldTrump I don't care what @NASCAR says! I dont care what the liberals at @espn say.. Keep Speaking The TRUTH!!
"," Trump, Favor
"
"@realDonaldTrump fuck you racist ass bitch. Go fuck yourself
"," Trump, Against
"
"@lybr3 @MarcATL76 #Programmed ppl are so damn STUCK ON BS! Clinton is free walking behind a rope! BARS ARE NEEDED! PLZ!
"," Trump, None
"
"I have one friend, he said he has more accountants than he has nurses.
"," Trump, None
"
"Donald Trump:  proof positive that Gigantism is the last stage before extinction. #MissUSA
"," Trump, Against
"
"@DeeHoer420 That's right. CNN = LOSER. Anyone who has met Trump knows he is a down to earth compassionate gentlemanman. 
"," Trump, Against
"
"@gerfingerpoken Please RT the #ImpeachObama art at the top of this thread, pinned on my page.
"," Trump, Against
"
"It's funny when politics seem like farce. Not so funny when politics becomes farce.
"," Trump, Against
"
"@business  ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #OhHillNo #StopHillary2016
"," Trump, Against
"
"I want to know @realDonaldTrump's thoughts on the #NYSE issue. #finance
"," Trump, None
"
"John O'Donnell, former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said ""laziness is a trait in blacks.
"," Trump, Against
"
"Kudos to Donald Trump for telling off NBC. The media HATES the GOP'S & will do ANYTHING to destroy them. #NBC #mediaatfault
"," Trump, Favor
"
"RedScareBot: ""Filthy Lucre"" RT valera927 The one promise #socialism can keep is keeping us all equally impoverished.
"," Trump, Against
"
"I've come to the horrid conclusion that Conservatives just don't care what the Democrats do.
"," Trump, None
"
"#ExtremistProgressives are so #Focused on their #Agenda that they believe a #Inanimate #FlagKills but #MultitimeDeporteesDont
"," Trump, None
"
"People: Donald Trump is a man who can lead this country into the future.
"," Trump, Favor
"
"@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get.
"," Trump, Against
"
"RT @bdckool: .@realDonaldTrump Of you can do for America what you did for your businesses, you will secure my vote.
"," Trump, Favor
"
"I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots
"," Trump, Against
"
"@ChristieC733  YES DONALD U R 100% CORRECT' as long as u stay the coruse and don't pander to GOP U GOT MY VOTE
"," Trump, Favor
"
"Political correctness should be an automatic disqualifier for all #GOP candidates in 2016. #tcot #DefeatCommunism
"," Trump, None
"
"THE @realDonaldTrump **MAKING TWO FEES INSTEAD OF ONE**  WE NEED A WINNER IN THE WHITE HOUSE AGAIN  #MakeAmericaGreatAgain !! 
"," Trump, Favor
"
"THE DONALD & CARLEY - Perfect Together! - #Trump
"," Trump, Favor
"
"I hope every Billionaire learned their lesson bout talking sh%t about Mexicans!  Do it in your golf clubs NOT on TV!
"," Trump, Against
"
"Trump's outlandish statements is political strategy. No one can be that stupid. #GOP #Strategy
"," Trump, Against
"
"@loudobbsnews Don't you just love that truth is now called controversial comments?!  Has this country fallen that low?!
"," Trump, Against
"
"GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS
"," Trump, Favor
"
"Maybe I was wrong. The government will probably ban football because someone is offended by the violent nature of the game
"," Trump, None
"
"Me: ""That asshole with the toupee was talking again and it was stressing me out""  Dad: ""Who?""  Mom: ""Donald Trump
"," Trump, Against
"
"Dear @realDonaldTrump: You are an idiot. #america #politics #sticktoyourhair
"," Trump, Against
"
"It's time for @Senate_GOPs @HouseGOP to start doing their jobs for US CITIZENS and stop giving in to @barackobama
"," Trump, Against
"
"@GOP it's time you recognize @realDonaldTrump . This movement is real. #MakeAmericaGreatAgain
"," Trump, Favor
"
"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO
"," Trump, Favor
"
"@peddoc63 @realDonaldTrump So I guess Univision is Fair & Balanced. These are the people that R helping shape USA!
"," Trump, Against
"
"Unlike Obama, @realDonaldTrump doesn't need a teleprompter. 
"," Trump, Favor
"
"@mailandguardian There goes the Latino vote, Donald Dumb!!
"," Trump, Against
"
"@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots!
"," Trump, None
"
"@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need.
"," Trump, Against
"
"@kesgardner @MikeHansen613  WTF?????? The true face of #Racism & it is UGLY both inside & out
"," Trump, Against
"
"@people @KimKardashian I dont even have to read this 2 know who she would want 4 the next president. #Killary
"," Trump, Against
"
"@realDonaldTrump people are scared to hear the truth and that's why they fear you. If you don't tell it like it is, no one will.
"," Trump, Favor
"
"@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all.
"," Trump, Against
"
"Will be watching @AC360 again tomorrow to watch @realDonaldTrump interview continuation. #MakeAmericaGreatAgain
"," Trump, Favor
"
"Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment 
"," Trump, Against
"
"Oh my if Hillary Clinton wins the U.S is going to fall apart
"," Trump, None
"
"Politicians are destroying America. We need more people like @realDonaldTrump  to run for office
"," Trump, Favor
"
"I'm developing my own version of Arya's kill list, but for asshole celebrities #BillCosby #PaulaDeen #JaredFromSubway #GOT
"," Trump, None
"
"@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates!
"," Trump, Favor
"
"@sbrenn01 @marklevinshow What diversity? Conservatives are racist. I am one. I love Trump.
"," Trump, Favor
"
"@realDonaldTrump Don't let the @GOP tell you how to run!  #America doesn't need another politician.  #MakeAmericaGreatAgain only
"," Trump, Favor
"
"@realDonaldTrump just so you know White people have more of a ""Rapist"" title, than Hispanics. #NotBeingRasist #DoResearch 
"," Trump, Against
"
"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes!
"," Trump, Against
"
"@McAndles1 @OldRowRumors Hoobastank goes against Christ. Shame
"," Trump, Against
"
"...And of course, God bless America!! #tcot  #teaparty 
"," Trump, None
"
"@TIMENOUT @TIB2016 @AlanColmes is a prime example of a #LobotomizedLiberal.
"," Trump, Against
"
"#FELLOW TEXANS WHO SHOP FIRE @MACY'S AND SHOP #DILLARD'S!
"," Trump, Against
"
"@johnkerry @statedept Nude pic of you and Brian Williams on your desk!  MY EYES MY EYES
"," Trump, Against
"
"Time for Texas & Oklahoma to think about a no fault divorce from the Divided States of America.   #TCOT #CCOT #tippingpoint
"," Trump, None
"
"@realDonaldTrump the left should get off your back!  By the LAW anyone that crosses the border illegally is a criminal. 
"," Trump, Against
"
"@1962Kiser @FanOfGreenMMs @ericbolling @jhodnot that's the one heard it causes sterilization in dem voters. err lab rats
"," Trump, None
"
"Corporate America showing there Asses, over #trump is just wrong! I am making note!
"," Trump, Against
"
"Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again?
"," Trump, Against
"
"Congrats to the @GOP for having @realDonaldTrump in first place amongst its 2016 candidates. #GOP2016 #Jeb2016 #walker2016
"," Trump, Favor
"
"@realDonaldTrump Let's face it, we've become a passive, inert nation controlled by thugs, and redistributionists.
"," Trump, Favor
"
"#SCOTUS rules they can rule anything they damn well please, regardless of We The People. Welcome to #tyranny.   #USA
"," Trump, None
"
"Donald Trump is the man lets get this man in the White House!!!
"," Trump, Favor
"
"@mdsbarry ILLEGAL ALIENS come to US collect welfare and social security, its time to #MakeAmericaGreatAgain SECURE OUR BORDERS 
"," Trump, Against
"
"I wonder if Trump's campaign manager is still just drinking or have they moved on to harder stuff.
"," Trump, Against
"
"Why are free market conservatives behind a multiple bankruptcy candidate who wears makeup. Gives us real conservatives a bad name
"," Trump, Against
"
"IRS + Hillary Both ""Lost"" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence!
"," Trump, None
"
"just want to give a big #shoutout to my #1 man these days, @realDonaldTrump  Get 'er done, big guy!! 
"," Trump, Favor
"
"all #war is on YOU! The evil machine WANTS to control U. #tcot #tlot #dems #teaparty #occupy  #cdnpoli #privacy #Love #art
"," Trump, None
"
"I am not sure who is coming from other countries but I will assume they must be bad cause I am rich.
"," Trump, None
"
"Did anyone cut ties with Senator Lindsey Graham when he called all Iranians liars? NO. 
"," Trump, Against
"
"Trump for prez he couldn't do any worse so give him a shot
"," Trump, Favor
"
"NASCAR abandons Trump. Some good news to end my day with   #Trump
"," Trump, Against
"
"@realDonaldTrump You are the trump card of my heart.
"," Trump, Favor
"
"Really @CNN? You're asking aloud whether a Mexican who lives down to a stereotype, validates the stereotype? #immigration
"," Trump, None
"
"@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain
"," Trump, Favor
"
"You're combover looks like the cupacabra  Guillermo @jimmykimmel so funny
"," Trump, Against
"
"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse
"," Trump, Against
"
"It's truly amazing just how many people Donald Trump is making complete & utter fools of. Gotta love it :) #MurderersAndRapists
"," Trump, Against
"
"@Dahat8 @Stonewall_77 The HATE within America is stronger NOW than I remember since 1969? Can't go backwards to such division
"," Trump, Against
"
"IF Trump could build the WALL it would provide jobs & also B a tourist attraction & pay 4 itself LEGALS arent the ones offended!
"," Trump, Favor
"
"@realDonaldTrump notice the @StopHillaryPAC didn't include you probly @KarlRove hiding behind a name again #Trump #trumpisright
"," Trump, Against
"
"Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya.
"," Trump, Against
"
"Honestly I am gonna watch #Univision so much more now, just to support the network against
"," Trump, None
"
"These noodles on my head are so hard to comb!
"," Trump, Against
"
"@businessinsider @billpostmus most libtard states are f'd up here #mepolitics #tcot
"," Trump, None
"
"what is it with the pple who enjoy harassing me by writing captions on my photographs @Lrihendry? #scientology    #hurtful
"," Trump, None
"
"Donald Trump is so crazy I'm scared if I was hanging with him he would think it would be okay to sell me back to slavery!
"," Trump, Against
"
"The gift that keeps on giving. #makeitstop
"," Trump, Against
"
"Hillary: -Assad is a reformer -Putin is re-settable -Libya Jihadist are allies -Iran not building Nukes -Strom is right #tcot
"," Trump, None
"
"Putting Our Marines on non US flagged Ships would be against everything that is America, for Gods sake end #Progressivism
"," Trump, None
"
"Is one cup of coffee ever enough?! #COFFEE
"," Trump, None
"
"Hey at @realDonaldTrump I'll vote for you if you adopt me!
"," Trump, Against
"
"@realDonaldTrump You're FIRED! Now get out of here! Go!   
"," Trump, Against
"
