dataset,model,subset,regime,reply_set,reply_set_id,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
thread,Llama3-8B,clinton,zero-shot,overall,overall,0.739221479,0.739567773,0.712898116,0.764735005,0.72952381,0.729779524,0.701904762,0.756190476,0.789325353,0.789975414,0.767063477,0.811737132
thread,Llama3-8B,clinton,zero-shot,0,overall,0.805345622,0.807000557,0.693971346,0.903806395,0.8,0.799858,0.68,0.9,0.856108597,0.865121044,0.806470588,0.926315789
thread,Llama3-8B,clinton,zero-shot,0,0,0.805345622,0.807012417,0.695643224,0.903202064,0.8,0.80003,0.68,0.9,0.856108597,0.865036225,0.807646359,0.925333333
thread,Llama3-8B,clinton,zero-shot,1,overall,0.808856891,0.809087984,0.7290042,0.881541945,0.81,0.809794,0.73,0.88,0.829469697,0.834009205,0.764825511,0.896690295
thread,Llama3-8B,clinton,zero-shot,1,0,0.812851852,0.812496439,0.687531869,0.918661258,0.82,0.82005,0.7,0.92,0.852527473,0.859868674,0.789371014,0.9291675
thread,Llama3-8B,clinton,zero-shot,1,1,0.801563025,0.804014218,0.687313233,0.901978648,0.8,0.800504,0.68,0.9,0.815213675,0.826077961,0.7175,0.92
thread,Llama3-8B,clinton,zero-shot,2,overall,0.721848698,0.721933617,0.648755534,0.790221805,0.7,0.69974,0.626666667,0.773333333,0.798599034,0.801076381,0.737346516,0.859504981
thread,Llama3-8B,clinton,zero-shot,2,0,0.820742706,0.820192998,0.705410602,0.920058048,0.82,0.819988,0.7,0.92,0.8440553,0.851776172,0.762768398,0.931428571
thread,Llama3-8B,clinton,zero-shot,2,1,0.709090909,0.711226075,0.584642562,0.826155696,0.68,0.681264,0.56,0.8,0.7675,0.77717652,0.641554343,0.897142857
thread,Llama3-8B,clinton,zero-shot,2,2,0.657659987,0.658122049,0.525027027,0.781783699,0.6,0.599852,0.46,0.74,0.837333333,0.843821167,0.770153846,0.91
thread,Llama3-8B,clinton,zero-shot,3,overall,0.703761442,0.704992147,0.642361252,0.765465708,0.695,0.695838,0.63,0.76,0.761251748,0.764787191,0.709068625,0.814726018
thread,Llama3-8B,clinton,zero-shot,3,0,0.675555425,0.674460677,0.534090885,0.802320472,0.68,0.679248,0.54,0.8,0.733064935,0.744147262,0.625064382,0.841667929
thread,Llama3-8B,clinton,zero-shot,3,1,0.761218553,0.761647771,0.641240529,0.8779907,0.76,0.760574,0.64,0.88,0.765326438,0.77719228,0.654939526,0.885045109
thread,Llama3-8B,clinton,zero-shot,3,2,0.692078431,0.69570312,0.563127901,0.817327098,0.68,0.680756,0.54,0.8,0.803406699,0.813602924,0.709888936,0.888888889
thread,Llama3-8B,clinton,zero-shot,3,3,0.69420932,0.696049386,0.566787041,0.81145362,0.66,0.659542,0.52,0.78,0.816080586,0.825314842,0.710051587,0.912436741
thread,Llama3-8B,clinton,zero-shot,4,overall,0.747816439,0.747917554,0.695299078,0.799190062,0.736,0.7357508,0.68,0.788,0.79389126,0.795779555,0.748483363,0.840165098
thread,Llama3-8B,clinton,zero-shot,4,0,0.821831832,0.821248215,0.708832586,0.920181565,0.82,0.819116,0.7,0.92,0.852,0.859112465,0.783073529,0.930066089
thread,Llama3-8B,clinton,zero-shot,4,1,0.761451906,0.762765015,0.64147725,0.87908655,0.76,0.760784,0.64,0.88,0.769861111,0.782451161,0.657499635,0.890000572
thread,Llama3-8B,clinton,zero-shot,4,2,0.731012146,0.732946846,0.610153333,0.8445,0.72,0.719586,0.58,0.84,0.788333333,0.799641198,0.686623684,0.88952381
thread,Llama3-8B,clinton,zero-shot,4,3,0.724732716,0.727341002,0.607800618,0.839656547,0.7,0.699576,0.58,0.82,0.801153846,0.812226174,0.697805504,0.905002525
thread,Llama3-8B,clinton,zero-shot,4,4,0.752,0.749724214,0.625757047,0.860080051,0.68,0.679584,0.54,0.8,0.86,0.864189913,0.751918581,0.96
thread,Llama3-8B,clinton,zero-shot,5,overall,0.734663628,0.734989561,0.684849062,0.783767576,0.723333333,0.723445333,0.67,0.773333333,0.784629291,0.786400771,0.74255711,0.827540888
thread,Llama3-8B,clinton,zero-shot,5,0,0.749397168,0.75034728,0.627597051,0.861939756,0.74,0.740308,0.62,0.86,0.804915825,0.813893626,0.735332445,0.893990394
thread,Llama3-8B,clinton,zero-shot,5,1,0.75125,0.7518427,0.631925856,0.862797235,0.74,0.739916,0.62,0.86,0.784428312,0.79406225,0.669295162,0.895760695
thread,Llama3-8B,clinton,zero-shot,5,2,0.688945769,0.689807231,0.558853216,0.815627166,0.68,0.679222,0.54,0.8,0.742690058,0.754139876,0.626218223,0.864536071
thread,Llama3-8B,clinton,zero-shot,5,3,0.761609518,0.76212886,0.641333126,0.879514905,0.76,0.759656,0.64,0.88,0.778744589,0.789740496,0.674451581,0.889602308
thread,Llama3-8B,clinton,zero-shot,5,4,0.67785114,0.68015049,0.546023542,0.800814703,0.66,0.659962,0.52,0.78,0.789919192,0.800764676,0.690199528,0.882504167
thread,Llama3-8B,clinton,zero-shot,5,5,0.779470339,0.781226224,0.665907203,0.887887759,0.76,0.76047,0.64,0.88,0.842694737,0.850974905,0.739603934,0.93754386
thread,Llama3-8B,clinton,zero-shot,overall,0,0.781189204,0.781454433,0.733242162,0.827201424,0.78,0.780248333,0.733333333,0.826666667,0.8220597,0.823582112,0.791037647,0.855199881
thread,Llama3-8B,clinton,zero-shot,overall,1,0.753917949,0.754247439,0.700825291,0.805361479,0.748,0.7481456,0.692,0.8,0.771212121,0.773710848,0.721549679,0.823001044
thread,Llama3-8B,clinton,zero-shot,overall,2,0.688137813,0.688404609,0.622910448,0.750284718,0.67,0.669683,0.6,0.735,0.782931962,0.785363172,0.730555207,0.834795418
thread,Llama3-8B,clinton,zero-shot,overall,3,0.723190715,0.724026983,0.654853607,0.790519219,0.706666667,0.706782,0.633333333,0.78,0.788055309,0.791460436,0.727487416,0.849149191
thread,Llama3-8B,clinton,zero-shot,overall,4,0.703995044,0.704483534,0.613345757,0.789175655,0.67,0.66949,0.57,0.76,0.809365915,0.813751785,0.732732375,0.883549828
thread,Llama3-8B,clinton,zero-shot,overall,5,0.779470339,0.781481441,0.661550856,0.888026546,0.76,0.760476,0.64,0.88,0.842694737,0.851612709,0.740159211,0.938461538
thread,Llama3-8B,trump,zero-shot,overall,overall,0.602567558,0.602642761,0.571940147,0.632720822,0.605714286,0.605698095,0.576190476,0.635238095,0.709717159,0.710312336,0.682651226,0.73633304
thread,Llama3-8B,trump,zero-shot,0,overall,0.582887701,0.582630913,0.422632885,0.738076366,0.62,0.62004,0.48,0.76,0.748238213,0.757294903,0.691442608,0.825561474
thread,Llama3-8B,trump,zero-shot,0,0,0.582887701,0.582514262,0.427073933,0.731207535,0.62,0.620112,0.48,0.74,0.748238213,0.757088339,0.692620321,0.822520896
thread,Llama3-8B,trump,zero-shot,1,overall,0.645005195,0.645481332,0.548171977,0.738449862,0.64,0.640067,0.54,0.73,0.725400782,0.730706334,0.639497325,0.811857336
