dataset,model,subset,regime,reply_set,reply_set_id,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
thread,GPT-4o,clinton,Base,overall,overall,0.833559093,0.833548181,0.810954258,0.855626064,0.833333333,0.833327619,0.81047619,0.855238095,0.835487088,0.835903959,0.813339346,0.857760161
thread,GPT-4o,clinton,Base,0,overall,0.762588235,0.763771128,0.638489204,0.879892077,0.76,0.760284,0.64,0.88,0.806222222,0.815554842,0.701997205,0.905263158
thread,GPT-4o,clinton,Base,0,0,0.762588235,0.762726064,0.636730769,0.87968469,0.76,0.759278,0.64,0.88,0.806222222,0.814706764,0.698499222,0.90615625
thread,GPT-4o,clinton,Base,1,overall,0.777799518,0.777888446,0.69152649,0.859347587,0.78,0.780601,0.7,0.86,0.781604305,0.787201413,0.702720817,0.863449383
thread,GPT-4o,clinton,Base,1,0,0.77299812,0.771563234,0.643159253,0.880252104,0.78,0.779612,0.66,0.88,0.784055556,0.793476609,0.672179116,0.897968434
thread,GPT-4o,clinton,Base,1,1,0.775619048,0.773844542,0.64824571,0.886136161,0.78,0.779598,0.66,0.88,0.777489177,0.786947022,0.658643148,0.899897368
thread,GPT-4o,clinton,Base,2,overall,0.841902751,0.842055243,0.783263019,0.897210627,0.84,0.839914667,0.78,0.893333333,0.845184837,0.848422915,0.788990985,0.903259159
thread,GPT-4o,clinton,Base,2,0,0.898701299,0.898167646,0.804220621,0.97950104,0.9,0.900066,0.82,0.98,0.899333333,0.906062529,0.813999206,0.980952381
thread,GPT-4o,clinton,Base,2,1,0.805714286,0.80564592,0.690017272,0.908523904,0.8,0.799756,0.68,0.9,0.812419355,0.820541254,0.698439313,0.92935342
thread,GPT-4o,clinton,Base,2,2,0.827,0.83041439,0.726105392,0.922555794,0.82,0.820398,0.7,0.92,0.847166667,0.857454763,0.759420276,0.938824095
thread,GPT-4o,clinton,Base,3,overall,0.860744589,0.860814125,0.81107381,0.905746258,0.86,0.860016,0.81,0.905,0.863385726,0.865494408,0.816759023,0.909908758
thread,GPT-4o,clinton,Base,3,0,0.86023166,0.860030216,0.757946183,0.940665208,0.86,0.860158,0.76,0.94,0.871861893,0.87804206,0.786412931,0.948571429
thread,GPT-4o,clinton,Base,3,1,0.874237288,0.873409287,0.767149486,0.959429797,0.88,0.880338,0.78,0.96,0.895625,0.900570885,0.835793404,0.962758621
thread,GPT-4o,clinton,Base,3,2,0.880240832,0.880989639,0.781086713,0.960762033,0.88,0.880556,0.78,0.96,0.881376344,0.889936365,0.784,0.97
thread,GPT-4o,clinton,Base,3,3,0.825005464,0.826385696,0.717788203,0.92186455,0.82,0.81961,0.7,0.92,0.862814815,0.872167178,0.785153846,0.938666667
thread,GPT-4o,clinton,Base,4,overall,0.848848105,0.848964731,0.803353887,0.892001223,0.848,0.8482368,0.804,0.892,0.852847036,0.854502957,0.809994389,0.895727845
thread,GPT-4o,clinton,Base,4,0,0.89992959,0.899876476,0.812262681,0.979940872,0.9,0.90009,0.82,0.98,0.911904762,0.916044915,0.8467,0.980952381
thread,GPT-4o,clinton,Base,4,1,0.772916667,0.771671663,0.643699725,0.882088917,0.78,0.780222,0.66,0.88,0.777561497,0.787823312,0.66128073,0.897667781
thread,GPT-4o,clinton,Base,4,2,0.858044776,0.856409209,0.749785008,0.941178972,0.86,0.860294,0.76,0.94,0.866968326,0.87098479,0.773903743,0.947459815
thread,GPT-4o,clinton,Base,4,3,0.813076923,0.812909099,0.705254513,0.906376812,0.8,0.800434,0.68,0.9,0.849803922,0.855000635,0.752007543,0.935384615
thread,GPT-4o,clinton,Base,4,4,0.908717949,0.90849985,0.821184416,0.979925589,0.9,0.900022,0.82,0.98,0.917894737,0.921017007,0.836666388,0.980833333
thread,GPT-4o,clinton,Base,5,overall,0.829472203,0.829694158,0.786136396,0.872429289,0.83,0.830359,0.786666667,0.873333333,0.830655594,0.832441399,0.789151992,0.874285895
thread,GPT-4o,clinton,Base,5,0,0.90037296,0.899889796,0.813400568,0.979905298,0.9,0.900278,0.82,0.98,0.903,0.907162647,0.824519805,0.980834239
thread,GPT-4o,clinton,Base,5,1,0.796483092,0.797064196,0.669996426,0.90753268,0.8,0.80043,0.68,0.9,0.800738739,0.811197863,0.676765152,0.923904878
