dataset,model,subset,regime,reply_set,reply_set_id,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
thread,Llama3-8B,clinton,zero-shot,overall,overall,0.477547369,0.476332922,0.419765912,0.533028766,0.456666667,0.456641333,0.4,0.513333333,0.563422861,0.564044163,0.500590972,0.627771498
thread,Llama3-8B,trump,zero-shot,overall,overall,0.279976634,0.281424467,0.227749565,0.335987934,0.28,0.280087333,0.23,0.333333333,0.409329385,0.40147756,0.327047622,0.472049801
thread,Llama3-8B,joint,zero-shot,overall,overall,0.18615873,0.184146504,0.139631374,0.229862344,0.183333333,0.183254333,0.14,0.226666667,0.23777381,0.224054457,0.165858586,0.283647979
thread,Llama3-8B,clinton,zero-shot,0,overall,0.805345622,0.806236587,0.693583724,0.903903709,0.8,0.799226,0.68,0.9,0.856108597,0.864675329,0.806110714,0.927669444
thread,Llama3-8B,trump,zero-shot,0,overall,0.582887701,0.582443435,0.422072761,0.735238095,0.62,0.620004,0.48,0.76,0.748238213,0.756986382,0.689330769,0.823203194
thread,Llama3-8B,joint,zero-shot,0,overall,0.446666667,0.446304759,0.307148547,0.587095239,0.46,0.460462,0.32,0.6,0.5455,0.5282381,0.352508071,0.675666667
thread,Llama3-8B,clinton,zero-shot,1,overall,0.679344322,0.681843336,0.547162433,0.812296187,0.68,0.68026,0.56,0.8,0.721333333,0.74252942,0.622554978,0.859612554
thread,Llama3-8B,trump,zero-shot,1,overall,0.434244829,0.437120036,0.294803402,0.578241518,0.42,0.419034,0.28,0.56,0.549642857,0.577096775,0.403532035,0.737142857
thread,Llama3-8B,joint,zero-shot,1,overall,0.344952381,0.344186905,0.20482381,0.487812454,0.34,0.340408,0.22,0.48,0.45447619,0.437877777,0.237222222,0.639675
thread,Llama3-8B,clinton,zero-shot,2,overall,0.446751131,0.439735736,0.294978211,0.58271769,0.4,0.399208,0.26,0.54,0.61,0.617043993,0.415378205,0.793340909
thread,Llama3-8B,trump,zero-shot,2,overall,0.335333333,0.324932497,0.187555482,0.461629868,0.28,0.279944,0.16,0.4,0.591428571,0.564149333,0.389512121,0.711254464
thread,Llama3-8B,joint,zero-shot,2,overall,0.133333333,0.128160036,0.04,0.228893939,0.12,0.120628,0.04,0.22,0.16,0.145524,0.04,0.26
thread,Llama3-8B,clinton,zero-shot,3,overall,0.336509804,0.330523907,0.195666026,0.469428968,0.3,0.300006,0.18,0.4205,0.486428571,0.437225044,0.246666667,0.622683333
thread,Llama3-8B,trump,zero-shot,3,overall,0.098060606,0.104443255,0.026153846,0.202225641,0.12,0.118694,0.04,0.22,0.143333333,0.148867203,0.02,0.336683333
thread,Llama3-8B,joint,zero-shot,3,overall,0.073333333,0.070146876,0,0.153333333,0.06,0.060262,0,0.14,0.14,0.110662,0,0.24
thread,Llama3-8B,clinton,zero-shot,4,overall,0.374666667,0.371936709,0.241902597,0.50633046,0.34,0.341058,0.22,0.48,0.443333333,0.440273879,0.290666667,0.59
thread,Llama3-8B,trump,zero-shot,4,overall,0.079333333,0.07956562,0.011985714,0.164258586,0.08,0.079742,0.02,0.16,0.103333333,0.096090873,0.008557143,0.206666667
thread,Llama3-8B,joint,zero-shot,4,overall,0.066666667,0.064292399,0,0.14,0.06,0.060334,0,0.14,0.08,0.073468,0,0.16
thread,Llama3-8B,clinton,zero-shot,5,overall,0.222666667,0.226560244,0.109522556,0.352983652,0.22,0.219524,0.12,0.34,0.263333333,0.281424136,0.13,0.433333333
thread,Llama3-8B,trump,zero-shot,5,overall,0.15,0.157411196,0.059392424,0.272,0.16,0.160964,0.06,0.26,0.32,0.259202794,0.052666667,0.46
thread,Llama3-8B,joint,zero-shot,5,overall,0.052,0.05393012,0,0.123333333,0.06,0.05978,0,0.14,0.046666667,0.050635132,0,0.12
thread,Llama3-70B,clinton,zero-shot,overall,overall,0.613011128,0.612981221,0.556495476,0.667998823,0.596666667,0.596472333,0.54,0.653333333,0.655017869,0.663563869,0.603755189,0.72261408
thread,Llama3-70B,trump,zero-shot,overall,overall,0.646074302,0.647087341,0.59172737,0.703487729,0.643333333,0.643417333,0.59,0.7,0.682914382,0.68787939,0.626325724,0.74702847
thread,Llama3-70B,joint,zero-shot,overall,overall,0.426482804,0.425004211,0.368822433,0.482605681,0.42,0.419833,0.363333333,0.476666667,0.462148148,0.458423367,0.398090392,0.519512996
thread,Llama3-70B,clinton,zero-shot,0,overall,0.881601184,0.88289059,0.788208306,0.960605426,0.88,0.880564,0.78,0.96,0.889544444,0.89731833,0.81315855,0.965
thread,Llama3-70B,trump,zero-shot,0,overall,0.821834897,0.822235982,0.709320828,0.920697039,0.82,0.819872,0.7,0.92,0.830735931,0.839843146,0.731777073,0.932
thread,Llama3-70B,joint,zero-shot,0,overall,0.761119048,0.761613548,0.641966917,0.87067167,0.74,0.739862,0.62,0.86,0.797888889,0.820294605,0.697777083,0.921229114
thread,Llama3-70B,clinton,zero-shot,1,overall,0.722805195,0.720072409,0.596085442,0.838468082,0.7,0.69899,0.56,0.82,0.78047619,0.79406146,0.674681439,0.901666667
thread,Llama3-70B,trump,zero-shot,1,overall,0.73799187,0.73853494,0.597776179,0.866641428,0.76,0.759308,0.64,0.88,0.744242424,0.763195554,0.615456548,0.89
thread,Llama3-70B,joint,zero-shot,1,overall,0.567444444,0.565514978,0.419225649,0.708187791,0.58,0.579946,0.44,0.72,0.635,0.619480038,0.451825,0.772671429
thread,Llama3-70B,clinton,zero-shot,2,overall,0.644957265,0.64406677,0.506440792,0.779487877,0.62,0.6195,0.48,0.76,0.688571429,0.709124881,0.550681244,0.856752381
thread,Llama3-70B,trump,zero-shot,2,overall,0.704333333,0.706271505,0.566666667,0.832821382,0.7,0.70048,0.56,0.82,0.766952381,0.764675253,0.607091667,0.895953081
thread,Llama3-70B,joint,zero-shot,2,overall,0.458666667,0.462027653,0.319621645,0.605621429,0.46,0.46135,0.32,0.6,0.5,0.495984263,0.326666667,0.66335
thread,Llama3-70B,clinton,zero-shot,3,overall,0.575111111,0.569005509,0.430482143,0.7068117,0.54,0.538442,0.4,0.68,0.676666667,0.656500644,0.492479167,0.806666667
thread,Llama3-70B,trump,zero-shot,3,overall,0.672666667,0.673439853,0.538170072,0.801376331,0.66,0.659906,0.52,0.78,0.76,0.747460534,0.6,0.876
thread,Llama3-70B,joint,zero-shot,3,overall,0.415,0.411979214,0.28,0.549090909,0.4,0.399378,0.26,0.54,0.44,0.438074,0.3,0.58
thread,Llama3-70B,clinton,zero-shot,4,overall,0.478219462,0.483010795,0.343167609,0.625667857,0.48,0.480106,0.34,0.62,0.484848485,0.504743109,0.352332692,0.66
thread,Llama3-70B,trump,zero-shot,4,overall,0.470285714,0.469271911,0.329329412,0.613798214,0.46,0.459354,0.32,0.6,0.51,0.515622443,0.35,0.685714286
thread,Llama3-70B,joint,zero-shot,4,overall,0.266666667,0.264170044,0.14,0.388571429,0.26,0.260366,0.14,0.38,0.28,0.272954,0.14,0.4
