dataset,model,subset,regime,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
semeval,DeBERTa,target,zero-shot,0.589843451,0.589414507,0.530827386,0.648282724,0.625368732,0.625043068,0.572271386,0.678466077,0.620860825,0.621802802,0.562278581,0.680193986
semeval,DeBERTa,stance,zero-shot,0.59515454,0.594829907,0.540281603,0.647570137,0.598820059,0.598491445,0.545722714,0.648967552,0.677120228,0.678648918,0.62596176,0.728766548
semeval,DeBERTa,joint,zero-shot,0.436436851,0.435925685,0.38038231,0.489424551,0.427728614,0.427543658,0.374631268,0.480825959,0.535954086,0.539032976,0.474561874,0.601046847
semeval,Flan-T5,target,zero-shot,0,0,0,0,0,0,0,0,0,0,0,0
semeval,Flan-T5,stance,zero-shot,0.566841336,0.567405247,0.50822623,0.62592457,0.607669617,0.608139823,0.557522124,0.657890855,0.632611459,0.635249949,0.56623778,0.699638235
semeval,Flan-T5,joint,zero-shot,0,0,0,0,0,0,0,0,0,0,0,0
semeval,Mistral-7B,target,zero-shot,0.760970812,0.761190818,0.717371444,0.803439526,0.699115044,0.699687611,0.651917404,0.746312684,0.851055186,0.852014208,0.815223894,0.886425654
semeval,Mistral-7B,stance,zero-shot,0.633752106,0.634039551,0.58022103,0.686978645,0.643067847,0.643378761,0.592920354,0.693215339,0.663207546,0.665612564,0.611905804,0.716615015
semeval,Mistral-7B,joint,zero-shot,0.477135323,0.477513107,0.4227671,0.532927523,0.483775811,0.483920649,0.430678466,0.536873156,0.545545116,0.548910101,0.471183403,0.6289937
semeval,Gemma-7B,target,zero-shot,0.734218185,0.734142839,0.687916086,0.778265651,0.654867257,0.65529705,0.604719764,0.705014749,0.868574172,0.869275178,0.83572165,0.900241895
semeval,Gemma-7B,stance,zero-shot,0.593556206,0.593694269,0.537820688,0.649580476,0.595870206,0.596120059,0.542772861,0.648967552,0.62969073,0.632100006,0.572560972,0.687927825
semeval,Gemma-7B,joint,zero-shot,0.453831725,0.453819615,0.400312686,0.507132857,0.445427729,0.44520118,0.392330383,0.498525074,0.655899213,0.601022878,0.45455498,0.701651036
semeval,Llama3-8B,target,zero-shot,0.694636733,0.694556665,0.644045537,0.74342436,0.675516224,0.67569882,0.625368732,0.722713864,0.827690742,0.82845032,0.801197898,0.851919275
semeval,Llama3-8B,stance,zero-shot,0.589363168,0.589562544,0.52989224,0.648076793,0.622418879,0.622733628,0.572271386,0.675516224,0.67095133,0.672870214,0.608355838,0.731707586
semeval,Llama3-8B,joint,zero-shot,0.428458697,0.42826586,0.374182842,0.482139745,0.439528024,0.439546903,0.386430678,0.492625369,0.543638658,0.547247193,0.471750715,0.62413497
semeval,Llama3-70B,target,zero-shot,0.773294148,0.773081851,0.72979872,0.814315087,0.702064897,0.702067257,0.651917404,0.749262537,0.860824446,0.861706612,0.821378048,0.898854093
semeval,Llama3-70B,stance,zero-shot,0.642792045,0.642775291,0.5885076,0.696268298,0.660766962,0.660743953,0.610619469,0.710914454,0.680002322,0.682017929,0.628818686,0.733093421
semeval,Llama3-70B,joint,zero-shot,0.522803711,0.52304202,0.467758243,0.578086291,0.525073746,0.52520885,0.471976401,0.578171091,0.561901752,0.564736839,0.494134188,0.637215499
semeval,Gemini-1.5,target,zero-shot,0.76918357,0.768686116,0.725416498,0.809517038,0.660766962,0.660681416,0.610619469,0.710914454,0.942470501,0.942995102,0.910097449,0.972836921
semeval,Gemini-1.5,stance,zero-shot,0.75032284,0.750277878,0.703906896,0.795091915,0.749262537,0.749098525,0.702064897,0.793510324,0.776165745,0.777775246,0.735208956,0.818419467
semeval,Gemini-1.5,joint,zero-shot,0.5689612,0.568011249,0.514158572,0.62110924,0.525073746,0.524630678,0.471976401,0.578171091,0.678021457,0.68006297,0.598259414,0.788725342
semeval,GPT-4o,target,zero-shot,0.750911684,0.750080602,0.706447798,0.792303682,0.631268437,0.630964602,0.578171091,0.684365782,0.935154629,0.935496718,0.902257896,0.966223708
semeval,GPT-4o,stance,zero-shot,0.721032182,0.720784357,0.672453489,0.768076648,0.719764012,0.719348083,0.672566372,0.766961652,0.776212337,0.777740017,0.736658738,0.815348221
semeval,GPT-4o,joint,zero-shot,0.525154167,0.524940098,0.470329235,0.578466439,0.477876106,0.478051327,0.424778761,0.530973451,0.624787126,0.627526657,0.562583015,0.692803699
semeval,Flan-T5,target,one-shot,0.005817765,0.005783687,0,0.01734979,0.002949853,0.002952212,0,0.008849558,0.209439528,0.182469892,0,0.454277286
